Designator,Mid X,Mid Y,Rotation,Layer
_4,158.75,-25.4,0.0,top
_3,158.75,-49.53,0.0,top
_2,87.63,-49.53,0.0,top
,87.63,-25.4,0.0,top
J1,102.65,-46.48,0.0,top
J2,123.475,-46.49,0.0,top
J3,143.795,-46.49,0.0,top
J4,143.7782,-28.68,180.0,top
J5,123.475,-28.68,180.0,top
J6,102.65,-28.68,180.0,top
