Designator,Mid X,Mid Y,Rotation,Layer
C1,97.0,-74.5225,270.0,top
C2,109.7,-74.5225,90.0,top
D1,97.0,-69.68,90.0,top
D2,97.395,-80.01,0.0,top
J1,87.63,-74.72,90.0,top
J2,120.65,-74.93,90.0,top
J3,108.615,-88.21,180.0,top
R1,106.2475,-80.01,180.0,top
U1,103.09,-69.89,90.0,top
